method,split,risk_budget,seed,episodes,success,shape_error,memory_error,memory_calibration_error,mechanism_macro_f1,tail_risk,damage_rate,force_clip_rate,contact_rate,diagnostic_rate,max_stretch,strain_energy
action_conditioned_memory,occluded_contact_memory,0.40,1,8,0.25000,0.13905,0.17824,0.06155,0.50000,0.75000,0.62500,0.01042,0.31458,1.00000,2.47994,1.13336
action_conditioned_memory,occluded_contact_memory,0.40,2,8,0.25000,0.14480,0.12900,0.02515,0.50000,0.75000,0.50000,0.01042,0.26458,1.00000,2.38171,1.15684
action_conditioned_memory,occluded_contact_memory,0.40,3,8,0.50000,0.13968,0.10690,0.02423,0.50000,0.50000,0.37500,0.01250,0.16667,0.87500,2.36398,1.11896
action_conditioned_memory,occluded_contact_memory,0.40,4,8,0.62500,0.13614,0.18207,0.06034,0.50000,0.37500,0.37500,0.01042,0.09375,1.00000,2.38308,1.09387
action_conditioned_memory,occluded_contact_memory,0.40,5,8,0.37500,0.14542,0.17767,0.04346,0.37500,0.62500,0.50000,0.01042,0.24792,0.87500,2.46116,1.17395
action_conditioned_memory,occluded_contact_memory,0.40,6,8,0.25000,0.14205,0.17841,0.06339,0.50000,0.75000,0.62500,0.01250,0.33958,1.00000,2.37915,1.14901
action_conditioned_memory,occluded_contact_memory,0.40,7,8,0.37500,0.13772,0.18874,0.07733,0.62500,0.62500,0.50000,0.01042,0.23542,0.75000,2.53753,1.15053
action_conditioned_memory_v5,combined_memory_stress,0.10,0,8,0.75000,0.13153,0.20431,0.01383,0.50000,0.25000,0.25000,0.03125,0.10833,0.00000,2.11989,1.02140
action_conditioned_memory_v5,combined_memory_stress,0.10,1,8,0.62500,0.14609,0.29057,0.11103,0.50000,0.37500,0.12500,0.03958,0.03125,0.00000,2.30624,1.13635
action_conditioned_memory_v5,combined_memory_stress,0.10,2,8,0.50000,0.14049,0.21712,0.06835,0.37500,0.50000,0.37500,0.03958,0.12292,0.00000,2.25127,1.11660
action_conditioned_memory_v5,combined_memory_stress,0.10,3,8,0.62500,0.14175,0.25680,0.09252,0.75000,0.37500,0.00000,0.02500,0.09583,0.00000,2.02628,0.99908
action_conditioned_memory_v5,combined_memory_stress,0.10,4,8,0.87500,0.14192,0.23973,0.08489,0.62500,0.12500,0.12500,0.02917,0.09167,0.00000,2.13962,1.05425
action_conditioned_memory_v5,combined_memory_stress,0.10,5,8,0.62500,0.14456,0.28637,0.12139,0.75000,0.37500,0.00000,0.03333,0.05625,0.00000,2.15506,1.10511
action_conditioned_memory_v5,combined_memory_stress,0.10,6,8,0.50000,0.14297,0.21717,0.06953,0.50000,0.50000,0.12500,0.02708,0.09792,0.00000,2.23564,1.01720
action_conditioned_memory_v5,combined_memory_stress,0.10,7,8,0.50000,0.14223,0.21984,0.05301,0.50000,0.50000,0.25000,0.03125,0.24167,0.00000,2.14461,1.03238
action_conditioned_memory_v5,combined_memory_stress,0.20,0,8,0.75000,0.13153,0.20431,0.01383,0.50000,0.25000,0.25000,0.03125,0.10833,0.00000,2.11989,1.02140
action_conditioned_memory_v5,combined_memory_stress,0.20,1,8,0.62500,0.14609,0.29057,0.11103,0.50000,0.37500,0.12500,0.03958,0.03125,0.00000,2.30624,1.13635
action_conditioned_memory_v5,combined_memory_stress,0.20,2,8,0.50000,0.14049,0.21712,0.06835,0.37500,0.50000,0.37500,0.03958,0.12292,0.00000,2.25127,1.11660
action_conditioned_memory_v5,combined_memory_stress,0.20,3,8,0.62500,0.14175,0.25680,0.09252,0.75000,0.37500,0.00000,0.02500,0.09583,0.00000,2.02628,0.99908
action_conditioned_memory_v5,combined_memory_stress,0.20,4,8,0.87500,0.14192,0.23973,0.08489,0.62500,0.12500,0.12500,0.02917,0.09167,0.00000,2.13962,1.05425
action_conditioned_memory_v5,combined_memory_stress,0.20,5,8,0.62500,0.14456,0.28637,0.12139,0.75000,0.37500,0.00000,0.03333,0.05625,0.00000,2.15506,1.10511
action_conditioned_memory_v5,combined_memory_stress,0.20,6,8,0.50000,0.14297,0.21717,0.06953,0.50000,0.50000,0.12500,0.02708,0.09792,0.00000,2.23564,1.01720
action_conditioned_memory_v5,combined_memory_stress,0.20,7,8,0.50000,0.14223,0.21984,0.05301,0.50000,0.50000,0.25000,0.03125,0.24167,0.00000,2.14461,1.03238
action_conditioned_memory_v5,combined_memory_stress,0.30,0,8,0.75000,0.13153,0.20431,0.01383,0.50000,0.25000,0.25000,0.03125,0.10833,0.00000,2.11989,1.02140
action_conditioned_memory_v5,combined_memory_stress,0.30,1,8,0.62500,0.14609,0.29057,0.11103,0.50000,0.37500,0.12500,0.03958,0.03125,0.00000,2.30624,1.13635
action_conditioned_memory_v5,combined_memory_stress,0.30,2,8,0.50000,0.14049,0.21712,0.06835,0.37500,0.50000,0.37500,0.03958,0.12292,0.00000,2.25127,1.11660
action_conditioned_memory_v5,combined_memory_stress,0.30,3,8,0.62500,0.14175,0.25680,0.09252,0.75000,0.37500,0.00000,0.02500,0.09583,0.00000,2.02628,0.99908
action_conditioned_memory_v5,combined_memory_stress,0.30,4,8,0.87500,0.14192,0.23973,0.08489,0.62500,0.12500,0.12500,0.02917,0.09167,0.00000,2.13962,1.05425
action_conditioned_memory_v5,combined_memory_stress,0.30,5,8,0.62500,0.14456,0.28637,0.12139,0.75000,0.37500,0.00000,0.03333,0.05625,0.00000,2.15506,1.10511
action_conditioned_memory_v5,combined_memory_stress,0.30,6,8,0.50000,0.14297,0.21717,0.06953,0.50000,0.50000,0.12500,0.02708,0.09792,0.00000,2.23564,1.01720
action_conditioned_memory_v5,combined_memory_stress,0.30,7,8,0.50000,0.14223,0.21984,0.05301,0.50000,0.50000,0.25000,0.03125,0.24167,0.00000,2.14461,1.03238
action_conditioned_memory_v5,combined_memory_stress,0.40,0,8,0.75000,0.13153,0.20431,0.01383,0.50000,0.25000,0.25000,0.03125,0.10833,0.00000,2.11989,1.02140
action_conditioned_memory_v5,combined_memory_stress,0.40,1,8,0.62500,0.14609,0.29057,0.11103,0.50000,0.37500,0.12500,0.03958,0.03125,0.00000,2.30624,1.13635
action_conditioned_memory_v5,combined_memory_stress,0.40,2,8,0.50000,0.14049,0.21712,0.06835,0.37500,0.50000,0.37500,0.03958,0.12292,0.00000,2.25127,1.11660
action_conditioned_memory_v5,combined_memory_stress,0.40,3,8,0.62500,0.14175,0.25680,0.09252,0.75000,0.37500,0.00000,0.02500,0.09583,0.00000,2.02628,0.99908
action_conditioned_memory_v5,combined_memory_stress,0.40,4,8,0.87500,0.14192,0.23973,0.08489,0.62500,0.12500,0.12500,0.02917,0.09167,0.00000,2.13962,1.05425
action_conditioned_memory_v5,combined_memory_stress,0.40,5,8,0.62500,0.14456,0.28637,0.12139,0.75000,0.37500,0.00000,0.03333,0.05625,0.00000,2.15506,1.10511
action_conditioned_memory_v5,combined_memory_stress,0.40,6,8,0.50000,0.14297,0.21717,0.06953,0.50000,0.50000,0.12500,0.02708,0.09792,0.00000,2.23564,1.01720
action_conditioned_memory_v5,combined_memory_stress,0.40,7,8,0.50000,0.14223,0.21984,0.05301,0.50000,0.50000,0.25000,0.03125,0.24167,0.00000,2.14461,1.03238
action_conditioned_memory_v5,hidden_strain_memory,0.10,0,8,0.50000,0.14360,0.22619,0.07995,0.75000,0.50000,0.12500,0.00834,0.01667,0.00000,2.25085,1.11400
action_conditioned_memory_v5,hidden_strain_memory,0.10,1,8,0.62500,0.13517,0.19034,0.05642,0.75000,0.37500,0.12500,0.00625,0.00000,0.00000,2.30324,1.05153
action_conditioned_memory_v5,hidden_strain_memory,0.10,2,8,0.50000,0.14280,0.25115,0.09357,0.62500,0.50000,0.12500,0.01042,0.00417,0.00000,2.34043,1.12499
action_conditioned_memory_v5,hidden_strain_memory,0.10,3,8,0.50000,0.14140,0.14746,0.01159,0.75000,0.50000,0.12500,0.00625,0.00833,0.00000,2.24090,1.06779
action_conditioned_memory_v5,hidden_strain_memory,0.10,4,8,0.37500,0.14527,0.22846,0.09470,0.62500,0.62500,0.25000,0.01250,0.01250,0.00000,2.34979,1.19776
action_conditioned_memory_v5,hidden_strain_memory,0.10,5,8,0.37500,0.14694,0.22762,0.08946,0.50000,0.62500,0.37500,0.01250,0.14583,0.00000,2.30628,1.19966
action_conditioned_memory_v5,hidden_strain_memory,0.10,6,8,0.50000,0.14406,0.17105,0.01866,0.62500,0.50000,0.12500,0.01042,0.02708,0.00000,2.29795,1.10150
action_conditioned_memory_v5,hidden_strain_memory,0.10,7,8,0.50000,0.14611,0.15863,0.01203,0.75000,0.50000,0.12500,0.00833,0.01667,0.00000,2.26123,1.04432
action_conditioned_memory_v5,hidden_strain_memory,0.20,0,8,0.50000,0.14360,0.22619,0.07995,0.75000,0.50000,0.12500,0.00834,0.01667,0.00000,2.25085,1.11400
action_conditioned_memory_v5,hidden_strain_memory,0.20,1,8,0.62500,0.13517,0.19034,0.05642,0.75000,0.37500,0.12500,0.00625,0.00000,0.00000,2.30324,1.05153
action_conditioned_memory_v5,hidden_strain_memory,0.20,2,8,0.50000,0.14280,0.25115,0.09357,0.62500,0.50000,0.12500,0.01042,0.00417,0.00000,2.34043,1.12499
action_conditioned_memory_v5,hidden_strain_memory,0.20,3,8,0.50000,0.14140,0.14746,0.01159,0.75000,0.50000,0.12500,0.00625,0.00833,0.00000,2.24090,1.06779
action_conditioned_memory_v5,hidden_strain_memory,0.20,4,8,0.37500,0.14527,0.22846,0.09470,0.62500,0.62500,0.25000,0.01250,0.01250,0.00000,2.34979,1.19776
action_conditioned_memory_v5,hidden_strain_memory,0.20,5,8,0.37500,0.14694,0.22762,0.08946,0.50000,0.62500,0.37500,0.01250,0.14583,0.00000,2.30628,1.19966
action_conditioned_memory_v5,hidden_strain_memory,0.20,6,8,0.50000,0.14481,0.17105,0.01866,0.62500,0.50000,0.12500,0.01042,0.03125,0.12500,2.29674,1.08651
action_conditioned_memory_v5,hidden_strain_memory,0.20,7,8,0.50000,0.14611,0.15863,0.01203,0.75000,0.50000,0.12500,0.00833,0.01667,0.00000,2.26123,1.04432
action_conditioned_memory_v5,hidden_strain_memory,0.30,0,8,0.50000,0.14360,0.22619,0.07995,0.75000,0.50000,0.12500,0.00834,0.01667,0.00000,2.25085,1.11400
action_conditioned_memory_v5,hidden_strain_memory,0.30,1,8,0.62500,0.13517,0.19034,0.05642,0.75000,0.37500,0.12500,0.00625,0.00000,0.00000,2.30324,1.05153
action_conditioned_memory_v5,hidden_strain_memory,0.30,2,8,0.50000,0.14280,0.25115,0.09357,0.62500,0.50000,0.12500,0.01042,0.00417,0.00000,2.34043,1.12499
action_conditioned_memory_v5,hidden_strain_memory,0.30,3,8,0.50000,0.14140,0.14746,0.01159,0.75000,0.50000,0.12500,0.00625,0.00833,0.00000,2.24090,1.06779
action_conditioned_memory_v5,hidden_strain_memory,0.30,4,8,0.37500,0.14527,0.22846,0.09470,0.62500,0.62500,0.25000,0.01250,0.01250,0.00000,2.34979,1.19776
action_conditioned_memory_v5,hidden_strain_memory,0.30,5,8,0.37500,0.14694,0.22762,0.08946,0.50000,0.62500,0.37500,0.01250,0.14583,0.00000,2.30628,1.19966
action_conditioned_memory_v5,hidden_strain_memory,0.30,6,8,0.50000,0.14481,0.17105,0.01866,0.62500,0.50000,0.12500,0.01042,0.03125,0.12500,2.29674,1.08651
action_conditioned_memory_v5,hidden_strain_memory,0.30,7,8,0.50000,0.14611,0.15863,0.01203,0.75000,0.50000,0.12500,0.00833,0.01667,0.00000,2.26123,1.04432
action_conditioned_memory_v5,hidden_strain_memory,0.40,0,8,0.50000,0.14360,0.22619,0.07995,0.75000,0.50000,0.12500,0.00834,0.01667,0.00000,2.25085,1.11400
action_conditioned_memory_v5,hidden_strain_memory,0.40,1,8,0.62500,0.13517,0.19034,0.05642,0.75000,0.37500,0.12500,0.00625,0.00000,0.00000,2.30324,1.05153
action_conditioned_memory_v5,hidden_strain_memory,0.40,2,8,0.50000,0.14280,0.25115,0.09357,0.62500,0.50000,0.12500,0.01042,0.00417,0.00000,2.34043,1.12499
